Year,India_GDP_Forecast,USA_GDP_Forecast,Germany_GDP_Forecast,India_vs_USA,India_vs_Germany
2355,48720.98096102874,48371.170005318265,8508.41773694567,349.81095571047626,40212.563224083075
2356,48736.00228669,48378.83220946081,8509.887908248409,357.17007722919516,40226.11437844159
2357,48750.877197769114,48386.41027600056,8511.343420105408,364.4669217685514,40239.5337776637
2358,48765.60712138578,48393.90512884089,8512.784418689667,371.70199254489125,40252.82270269611
2359,48780.19347074941,48401.31768173991,8514.21104871666,378.8757890095003,40265.98242203275
2360,48794.63764529468,48408.64883842187,8515.623453458864,385.9888068728105,40279.01419183581
2361,48808.941030815855,48415.89949268738,8517.021774760153,393.04153812847653,40291.9192560557
2362,48823.10499959968,48423.07052852231,8518.406153050037,400.03447107737156,40304.69884654964
2363,48837.130910557054,48430.16282020563,8519.776727357768,406.9680903514236,40317.354183199284
2364,48851.02010935344,48437.17723241597,8521.133635326307,413.8428769374732,40329.88647402714
2365,48864.77392853792,48444.114620337044,8522.47701322614,420.6593082008767,40342.29691531178
2366,48878.3936876711,48450.97582976188,8523.806995968964,427.4178579092186,40354.586691702134
2367,48891.880693451654,48457.76169719603,8525.123717121241,434.11899625562364,40366.75697633041
2368,48905.2362398417,48464.473049959444,8526.427308917606,440.7631898822583,40378.8089309241
2369,48918.461608191,48471.11070628741,8527.717902274151,447.3509019035919,40390.743705916844
2370,48931.558067359816,48477.67547543028,8528.99562680157,453.8825919295341,40402.56244055825
2371,48944.52687384071,48484.168157752145,8530.260610818177,460.3587160885654,40414.26626302253
2372,48957.369271879055,48490.5895448284,8531.512981362792,466.7797270506562,40425.85629051626
2373,48970.08649359241,48496.940419542276,8532.752864207498,473.1460740501352,40437.33362938491
2374,48982.67975908878,48503.221556180244,8533.980383870274,479.4582029085359,40448.69937521851
2375,48995.15027658359,48509.433720526475,8535.195663627499,485.71655605711567,40459.95461295609
2376,49007.49924251568,48515.57766995615,8536.398825526332,491.921572559535,40471.10041698935
2377,49019.72784166206,48521.65415352781,8537.58999039697,498.07368813425273,40482.13785126509
2378,49031.83724725158,48527.66391207473,8538.76927786478,504.1733351768489,40493.0679693868
2379,49043.82862107749,48533.607678295135,8539.936806362319,510.22094278235454,40503.89181471517
2380,49055.70311360892,48539.486176841645,8541.092693141218,516.2169367672759,40514.6104204677
2381,49067.461864101235,48545.30012440955,8542.237054283967,522.1617396916845,40525.22480981727
2382,49079.106000705346,48551.0502298242,8543.370004715565,528.0557708811466,40535.73599598978
2383,49090.63664057596,48556.73719412745,8544.491658215067,533.8994464485149,40546.14498236089
2384,49102.05488997873,48562.36171066309,8545.60212742701,539.69317931564,40556.45276255172
2385,49113.36184439644,48567.92446516142,8546.701523872718,545.4373792350161,40566.66032052372
2386,49124.55858863404,48573.42613582282,8547.789957961515,551.1324528112236,40576.76863067252
2387,49135.64619692279,48578.86739340043,8548.867539001803,556.7788035223566,40586.778657920986
2388,49146.62573302329,48584.248901281986,8549.934375212046,562.3768317413051,40596.69135781124
2389,49157.49825032754,48589.5713155706,8550.990573731628,567.9269347569352,40606.50767659591
2390,49168.264791960006,48594.83528516485,8552.036240631624,573.4295067951534,40616.228551328386
2391,49178.9263908777,48600.041451837824,8553.071480925446,578.8849390398755,40625.85490995225
2392,49189.48406996929,48605.19045031541,8554.096398579391,584.2936196538794,40635.38767138989
2393,49199.93884215322,48610.282908353634,8555.111096523087,589.6559337995859,40644.82774563013
2394,49210.29171047491,48615.319446815236,8556.115676659816,594.9722636596707,40654.17603381509
2395,49220.54366820298,48620.30067974534,8557.110239876765,600.2429884576413,40663.433428326214
2396,49230.69569892456,48625.22721444635,8558.094886055143,605.4684844782096,40672.600812869416
2397,49240.748776639615,48630.099651551915,8559.069714080226,610.6491250877007,40681.679062559386
2398,49250.70386585444,48634.918585100255,8560.034821851274,615.7852807541858,40690.66904400317
2399,49260.561921674176,48639.68460260653,8560.990306291369,620.8773190676438,40699.57161538281
2400,49270.32388989444,48644.39828513448,8561.936263357153,625.9256047599629,40708.38762653729
2401,49279.990707092074,48649.06020736722,8562.872788048457,630.9304997248546,40717.117919043616
2402,49289.56330071499,48653.670937677416,8563.799974417845,635.8923630375721,40725.76332629714
2403,49299.04258917117,48658.23103819647,8564.717915580062,640.8115509747004,40734.32467359111
2404,49308.42948191676,48662.741064883114,8565.626703721382,645.6884170336489,40742.80277819538
2405,49317.724879543355,48667.20156759115,8566.526430108863,650.5233119522018,40751.198449434494
2406,49326.92967386434,48671.61309013657,8567.417185099519,655.3165837277702,40759.51248876482
2407,49336.04474800052,48675.97617036372,8568.299058149392,660.0685776367973,40767.74568985112
2408,49345.07097646482,48680.291340211,8569.172137822536,664.7796362538211,40775.898838642286
2409,49354.00922524618,48684.55912577566,8570.036511799906,669.4500994705231,40783.972713446274
2410,49362.860351892654,48688.78004737795,8570.892266888177,674.080304514704,40791.968085004475
2411,49371.625205593664,48692.95461962455,8571.739489028443,678.6705859691137,40799.88571656522
2412,49380.304627261496,48697.083351471316,8572.578263304866,683.2212757901798,40807.72636395663
